date,New York,Cape Town,Amsterdam,Tokyo,Rio de Janeiro,Jakarta,Dubai,Svalbard
02/01/15,4,23,7,2,32,27,23,-3
03/01/15,4,21,4,4,30,28,21,-1
04/01/15,9,22,4,4,30,27,20,-7
05/01/15,3,21,1,7,28,27,22,-8
06/01/15,-6,21,3,11,28,29,22,-4
07/01/15,-8,24,4,8,30,29,20,-1
08/01/15,-9,22,6,7,31,29,22,-2
09/01/15,-2,22,9,8,32,30,20,0
10/01/15,-6,21,9,7,33,29,21,-4
11/01/15,-2,22,6,6,28,29,22,-4
12/01/15,3,23,9,6,30,27,21,-11
13/01/15,-2,22,8,6,29,27,20,-9
14/01/15,-3,26,3,6,29,27,20,-11
15/01/15,-1,22,6,7,31,28,20,-12
16/01/15,1,19,6,8,30,28,20,-16
17/01/15,-4,18,2,7,30,27,21,-16
18/01/15,3,20,2,6,30,27,22,-11
19/01/15,4,22,0,6,28,26,18,-7
20/01/15,3,22,1,8,29,27,17,-4
21/01/15,0,24,-1,3,30,27,17,-4
22/01/15,2,23,-1,6,29,24,18,0
23/01/15,1,23,-3,9,28,26,18,1
24/01/15,3,22,2,7,28,27,19,-1
25/01/15,4,22,3,7,30,28,20,-4
26/01/15,-2,22,7,10,29,26,21,-9
27/01/15,-4,22,5,10,31,27,21,-17
28/01/15,-4,23,4,6,31,28,21,-18
29/01/15,-3,26,2,3,32,28,22,-18
30/01/15,-2,22,1,3,29,29,23,-21
31/01/15,-6,20,2,7,28,28,23,-19
01/02/15,-2,21,2,4,28,24,23,-18
02/02/15,-4,22,3,6,24,28,21,-15
03/02/15,-7,21,2,6,27,28,21,-9
04/02/15,-1,21,1,6,27,27,24,-2
05/02/15,-3,21,-2,4,28,27,24,-6
06/02/15,-7,22,0,6,27,27,20,-17
07/02/15,-1,24,1,7,27,28,21,-17
08/02/15,2,20,4,4,27,24,22,-19
09/02/15,-2,21,4,3,28,24,26,-23
10/02/15,1,20,6,3,31,26,26,-22
11/02/15,-2,18,4,6,32,26,26,-22
12/02/15,-2,21,3,8,33,28,27,-19
13/02/15,-9,19,5,6,31,27,26,-20
14/02/15,-3,21,7,6,29,27,27,-21
15/02/15,-9,20,3,6,28,27,26,-11
